learning_rate,epochs,hidden_layers,activation,optimizer,accuracy,f1_score,precision,recall
0.0001,500,[9],relu,batch,0.2576419213973799,0.267736820383194,0.4323168098277268,0.2576419213973799
0.0001,500,[9],sigmoid,sgd,0.5895196506550219,0.544094641298963,0.5402926043619644,0.5895196506550219
0.0001,500,[9],sigmoid,mini_batch,0.4890829694323144,0.41601426017962534,0.6052201261801984,0.4890829694323144
0.0001,500,[9],sigmoid,batch,0.23580786026200873,0.2797480713800379,0.41435150614864946,0.23580786026200873
0.0001,500,[9],tanh,sgd,0.62882096069869,0.6078350165658,0.6539133871232271,0.62882096069869
0.0001,500,[9],tanh,mini_batch,0.5152838427947598,0.5301503645377306,0.5468606156146805,0.5152838427947598
0.0001,500,[9],tanh,batch,0.2314410480349345,0.30335716528241563,0.4767061905001796,0.2314410480349345
0.0001,500,"[32, 54]",relu,sgd,0.5851528384279476,0.5760203769463134,0.5686065328481082,0.5851528384279476
0.0001,500,"[32, 54]",relu,mini_batch,0.5676855895196506,0.5633388349803308,0.5740529610428722,0.5676855895196506
0.0001,500,"[32, 54]",relu,batch,0.08296943231441048,0.11223538234488627,0.30990194948498934,0.08296943231441048
0.0001,500,"[32, 54]",sigmoid,sgd,0.5807860262008734,0.5318891645724612,0.6405237766135027,0.5807860262008734
0.0001,500,"[32, 54]",sigmoid,mini_batch,0.519650655021834,0.4663797279542199,0.5920774596289675,0.519650655021834
0.0001,500,"[32, 54]",sigmoid,batch,0.11353711790393013,0.02315266718040928,0.8993535592380008,0.11353711790393013
0.0001,500,"[32, 54]",tanh,sgd,0.6244541484716157,0.6041263666373008,0.6326019148878462,0.6244541484716157
0.0001,500,"[32, 54]",tanh,mini_batch,0.5676855895196506,0.5627960068220468,0.5760703556366932,0.5676855895196506
0.0001,500,"[32, 54]",tanh,batch,0.15283842794759825,0.21398906404238352,0.4314282132484844,0.15283842794759825
